canonId,batchId,appProfileId,nameFa,nameEn,category,readinessStatus,workstream,priorityScore
IFKB-CANON-00083,IRANIAN-BATCH-03,iranian-mast-chakideh,ماست چکیده,Strained yogurt,dairy_beverage,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00087,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00087,اناربیج,Anarbij pomegranate herb stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00100,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00100,قروت بادمجان,Qoroot bademjan,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00112,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00112,اکبرجوجه,Akbar joojeh fried chicken,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00124,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00124,مرصع پلو,Morasa polo jeweled rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00136,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00136,دمی لخلاخ,Lakh lakh fish rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00148,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00148,زیبون,Zeyboon fish and rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00160,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00160,دل و قلوه کبابی,Grilled heart and kidney,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00172,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00172,آش لخشک,Lakhshak noodle ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00184,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00184,کوکو سیب‌زمینی,Potato kuku,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00196,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00196,بورانی اسفناج,Spinach borani,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00208,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00208,سوراغ,Sooragh fermented fish condiment,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00228,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00228,گز,Gaz nougat,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00240,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00240,قرابیه تبریز,Tabrizi qurabiya,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00252,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00252,نان نخودچی,Chickpea cookie,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00225,IRANIAN-BATCH-04,iranian-fallback-ifkb-canon-00225,نان قندی,Sweet bread,bread,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00003,IRANIAN-BATCH-04,iranian-khoresh-aloo-esfenaj,خورش آلو اسفناج,Persian prune and spinach stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00017,IRANIAN-BATCH-04,iranian-kalam-polo,کلم پلو,Cabbage herb rice,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00030,IRANIAN-BATCH-04,iranian-chelo-kebab-koobideh,چلوکباب کوبیده,Rice with koobideh kebab,kebab,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00050,IRANIAN-BATCH-04,iranian-dolmeh-barg-mo,دلمه برگ مو,Stuffed grape leaves,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00066,IRANIAN-BATCH-04,iranian-baklava,باقلوا,Baklava,dessert,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00042,IRANIAN-BATCH-04,iranian-adasi,عدسی,Lentil stew,breakfast,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00038,IRANIAN-BATCH-04,iranian-boiled-egg,تخم‌مرغ آب‌پز,Boiled egg,breakfast,legacy_estimate,review_legacy_estimate,45
IFKB-CANON-00088,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00088,ترش تره,Torshe tareh sour herb stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00101,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00101,قلیه ماهی,Ghalieh mahi fish stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00113,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00113,مرغ شکم‌پر,Stuffed chicken,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00125,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00125,هویج پلو,Carrot rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00137,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00137,قنبر پلو,Ghanbar polo,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00149,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00149,موفلک,Moflak cracked wheat dish,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00161,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00161,ماهی تنوری,Tandoor-baked fish,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00173,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00173,آش یارمه,Yarmeh ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00185,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00185,کوکو لوبیا سبز,Green bean kuku,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00197,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00197,بورانی بادمجان,Eggplant borani,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00209,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00209,پکوره,Pakora,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00229,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00229,پولکی,Poolaki candy,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00241,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00241,نوقا,Tabrizi nougat,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00253,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00253,نان پنجره‌ای,Rosette cookie,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00256,IRANIAN-BATCH-05,iranian-fallback-ifkb-canon-00256,شربت سکنجبین,Sekanjabin drink,dairy_beverage,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00004,IRANIAN-BATCH-05,iranian-khoresh-loobia-sabz,خورش لوبیا سبز,Persian green bean stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00018,IRANIAN-BATCH-05,iranian-loobia-polo,لوبیا پلو,Green bean rice,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00031,IRANIAN-BATCH-05,iranian-soup-jo,سوپ جو,Barley soup,soup,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00051,IRANIAN-BATCH-05,iranian-loobia-chiti,خوراک لوبیا چیتی,Pinto bean stew,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00067,IRANIAN-BATCH-05,iranian-fereni,فرنی,Fereni rice-flour pudding,dessert,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00043,IRANIAN-BATCH-05,iranian-omelet-gojeh,املت گوجه,Tomato omelet,breakfast,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00076,IRANIAN-BATCH-05,iranian-tea-unsweetened,چای بدون قند,Unsweetened tea,dairy_beverage,legacy_estimate,review_legacy_estimate,45
IFKB-CANON-00089,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00089,سیر قلیه,Sir ghalieh garlic chicken stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00102,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00102,قلیه میگو,Ghalieh meygoo shrimp stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00114,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00114,ماهی شکم‌پر,Stuffed fish,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00126,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00126,ماش پلو,Mung bean rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00138,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00138,رب پلو,Rob polo tomato paste rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00150,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00150,کباب بناب,Bonab kebab,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00162,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00162,آش شله قلمکار,Ash sholeh ghalamkar,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00174,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00174,آش بلغور,Bulgur ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00186,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00186,کوکو شیرین,Sweet kuku,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00198,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00198,نازخاتون,Naz khatoon eggplant condiment,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00210,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00210,حمیس توله,Hamiss tuleh greens dish,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00230,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00230,قطاب,Qottab pastry,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00242,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00242,اریس,Eris caramel sweet,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00254,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00254,گوشفیل,Gooshfil fried pastry,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00257,IRANIAN-BATCH-06,iranian-fallback-ifkb-canon-00257,شربت خاکشیر,Khakshir drink,dairy_beverage,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00005,IRANIAN-BATCH-06,iranian-gheimeh,قیمه,Gheimeh stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00019,IRANIAN-BATCH-06,iranian-zereshk-polo-morgh,زرشک‌پلو با مرغ,Barberry rice with chicken,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00032,IRANIAN-BATCH-06,iranian-eshkeneh,اشکنه,Eshkeneh,soup,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00052,IRANIAN-BATCH-06,iranian-pizza-slice,پیتزا,Pizza,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00068,IRANIAN-BATCH-06,iranian-bastani-sonnati,بستنی سنتی,Persian saffron ice cream,dessert,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00044,IRANIAN-BATCH-06,iranian-cream-honey,خامه و عسل,Cream and honey with bread,breakfast,legacy_estimate,review_legacy_estimate,55
IFKB-CANON-00077,IRANIAN-BATCH-06,iranian-doogh,دوغ,Doogh yogurt drink,dairy_beverage,legacy_estimate,review_legacy_estimate,45
IFKB-CANON-00090,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00090,مرغ ترش,Morgh torsh sour herb chicken,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00103,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00103,یتیمچه,Yatimcheh vegetable stew,stew,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00115,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00115,ماهی صبور شکم‌پر,Stuffed sobour fish,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00127,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00127,لوبیا چشم‌بلبلی پلو,Black-eyed pea rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00139,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00139,شکر پلو,Shekar polo sweet saffron rice,rice,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00151,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00151,دنده کباب,Kermanshahi rib kebab,kebab,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00163,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00163,آش سبزی شیرازی,Shirazi herb ash,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00175,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00175,شله مشهدی,Sholeh Mashhadi,soup,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00187,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00187,کوفته تبریزی,Tabrizi koofteh,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00199,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00199,کال کباب,Kal kabab eggplant walnut dish,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00211,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00211,بریانی اصفهان,Isfahan beryani,street_food,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00231,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00231,باقلوا یزدی,Yazdi baklava,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00243,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00243,باسلوق,Baslogh starch sweet,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00255,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00255,حلوای شیر,Milk halva,dessert,ds0_broad_fallback,acquire_sources_and_recipe_profile,130
IFKB-CANON-00258,IRANIAN-BATCH-07,iranian-fallback-ifkb-canon-00258,شربت تخم شربتی,Tokhm sharbati drink,dairy_beverage,ds0_broad_fallback,acquire_sources_and_recipe_profile,120
IFKB-CANON-00006,IRANIAN-BATCH-07,iranian-khoresh-beh,خورش به,Persian quince stew,stew,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00020,IRANIAN-BATCH-07,iranian-tahchin-morgh,ته‌چین مرغ,Chicken tahchin,rice,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00033,IRANIAN-BATCH-07,iranian-ash-doogh,آش دوغ,Yogurt herb soup,soup,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00053,IRANIAN-BATCH-07,iranian-haleem-bademjan,حلیم بادمجان,Halim bademjan,street_food,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00069,IRANIAN-BATCH-07,iranian-shir-berenj,شیربرنج,Rice pudding,dessert,legacy_estimate,review_legacy_estimate,65
IFKB-CANON-00045,IRANIAN-BATCH-07,iranian-kaleh-pacheh,کله‌پاچه,Kaleh pacheh,breakfast,legacy_estimate,review_legacy_estimate,55
