canon_id,name_fa,name_en,aliases_fa,category,region,canon_status,priority
IFKB-CANON-00031,سوپ جو,Barley soup,,soup,,existing_legacy_concept,
IFKB-CANON-00032,اشکنه,Eshkeneh,,soup,,existing_legacy_concept,
IFKB-CANON-00033,آش دوغ,Yogurt herb soup,,soup,,existing_legacy_concept,
IFKB-CANON-00034,آش انار,Pomegranate soup,,soup,,existing_legacy_concept,
IFKB-CANON-00035,آش رشته,Ash reshteh,,soup,,existing_legacy_concept,
IFKB-CANON-00036,حلیم,Halim wheat porridge,,soup,,existing_legacy_concept,
IFKB-CANON-00037,آبگوشت,Abgoosht / dizi,,soup,,existing_legacy_concept,
IFKB-CANON-00038,تخم‌مرغ آب‌پز,Boiled egg,,breakfast,,existing_legacy_concept,
IFKB-CANON-00039,حلوا ارده,Tahini halva,,breakfast,,existing_legacy_concept,
IFKB-CANON-00040,نان و پنیر و چای,"Bread, cheese and tea",,breakfast,,existing_legacy_concept,
IFKB-CANON-00041,نیمرو,Fried eggs,,breakfast,,existing_legacy_concept,
IFKB-CANON-00042,عدسی,Lentil stew,,breakfast,,existing_legacy_concept,
IFKB-CANON-00043,املت گوجه,Tomato omelet,,breakfast,,existing_legacy_concept,
IFKB-CANON-00044,خامه و عسل,Cream and honey with bread,,breakfast,,existing_legacy_concept,
IFKB-CANON-00045,کله‌پاچه,Kaleh pacheh,,breakfast,,existing_legacy_concept,
IFKB-CANON-00046,کوکو سبزی,Kuku sabzi,,street_food,,existing_legacy_concept,
IFKB-CANON-00047,سمبوسه,Samosa,,street_food,,existing_legacy_concept,
IFKB-CANON-00048,شامی,Shami patty,,street_food,,existing_legacy_concept,
IFKB-CANON-00049,کتلت,Kotlet,,street_food,,existing_legacy_concept,
IFKB-CANON-00050,دلمه برگ مو,Stuffed grape leaves,,street_food,,existing_legacy_concept,
IFKB-CANON-00051,خوراک لوبیا چیتی,Pinto bean stew,,street_food,,existing_legacy_concept,
IFKB-CANON-00052,پیتزا,Pizza,,street_food,,existing_legacy_concept,
IFKB-CANON-00053,حلیم بادمجان,Halim bademjan,,street_food,,existing_legacy_concept,
IFKB-CANON-00054,میرزاقاسمی,Mirza ghasemi,,street_food,,existing_legacy_concept,
IFKB-CANON-00055,سیب‌زمینی سرخ‌کرده,French fries,,street_food,,existing_legacy_concept,
IFKB-CANON-00056,کشک بادمجان,Kashk bademjan,,street_food,,existing_legacy_concept,
IFKB-CANON-00057,همبرگر,Hamburger,,street_food,,existing_legacy_concept,
IFKB-CANON-00058,ساندویچ سوسیس,Sausage sandwich,,street_food,,existing_legacy_concept,
IFKB-CANON-00059,ماکارونی,Iranian-style macaroni,,street_food,,existing_legacy_concept,
IFKB-CANON-00060,الویه,Olivieh sandwich,,street_food,,existing_legacy_concept,
IFKB-CANON-00061,فلافل,Falafel sandwich,,street_food,,existing_legacy_concept,
IFKB-CANON-00062,نان لواش,Lavash bread,,bread,,existing_legacy_concept,
IFKB-CANON-00063,نان تافتون,Taftoon bread,,bread,,existing_legacy_concept,
IFKB-CANON-00064,نان سنگک,Sangak bread,,bread,,existing_legacy_concept,
IFKB-CANON-00065,نان بربری,Barbari bread,,bread,,existing_legacy_concept,
IFKB-CANON-00066,باقلوا,Baklava,,dessert,,existing_legacy_concept,
IFKB-CANON-00067,فرنی,Fereni rice-flour pudding,,dessert,,existing_legacy_concept,
IFKB-CANON-00068,بستنی سنتی,Persian saffron ice cream,,dessert,,existing_legacy_concept,
IFKB-CANON-00069,شیربرنج,Rice pudding,,dessert,,existing_legacy_concept,
IFKB-CANON-00070,حلوا,Persian halva,,dessert,,existing_legacy_concept,
IFKB-CANON-00071,شله زرد,Saffron rice pudding,,dessert,,existing_legacy_concept,
IFKB-CANON-00072,نان خامه‌ای,Cream puff,,dessert,,existing_legacy_concept,
IFKB-CANON-00073,فالوده شیرازی,Shirazi faloodeh,,dessert,,existing_legacy_concept,
IFKB-CANON-00074,رنگینک,Ranginak date dessert,,dessert,,existing_legacy_concept,
IFKB-CANON-00075,زولبیا و بامیه,Zoolbia and bamieh,,dessert,,existing_legacy_concept,
IFKB-CANON-00076,چای بدون قند,Unsweetened tea,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00077,دوغ,Doogh yogurt drink,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00078,پنیر,White cheese,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00079,کشک,Kashk,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00080,ماست,Yogurt,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00081,شیر,Milk,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00082,شربت آبلیمو,Lemonade syrup drink,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00083,ماست چکیده,Strained yogurt,,dairy_beverage,,existing_legacy_concept,
IFKB-CANON-00084,خورش غوره مسما,Ghooreh mosama stew,غوره مسما,stew,,candidate_canon,
IFKB-CANON-00085,آلو مسما,Aloo mosama stew,خورش آلو مسما,stew,,candidate_canon,
IFKB-CANON-00086,آغوز مسما,Aghouz mosama walnut stew,,stew,,candidate_canon,
IFKB-CANON-00087,اناربیج,Anarbij pomegranate herb stew,انار بیج,stew,,candidate_canon,
IFKB-CANON-00088,ترش تره,Torshe tareh sour herb stew,ترش‌تره,stew,,candidate_canon,
IFKB-CANON-00089,سیر قلیه,Sir ghalieh garlic chicken stew,سیرقلیه,stew,,candidate_canon,
IFKB-CANON-00090,مرغ ترش,Morgh torsh sour herb chicken,,stew,,candidate_canon,
IFKB-CANON-00091,سیر واویج,Sir vavij garlic egg dish,سیرابیج,egg_dish,,candidate_canon,
IFKB-CANON-00092,واویشکا,Vavishka meat and tomato sauté,,stew,,candidate_canon,
IFKB-CANON-00093,مرغ ناردونی,Pomegranate chicken,ناردون مرغ,stew,,candidate_canon,
IFKB-CANON-00094,خورش هویج تبریزی,Tabrizi carrot stew,خورشت هویج,stew,,candidate_canon,
IFKB-CANON-00095,پیچاق قیمه,Pichagh gheimeh almond stew,پیچاق‌قیمه,stew,,candidate_canon,
IFKB-CANON-00096,خورش خلال,Kermanshahi almond sliver stew,خورشت خلال,stew,,candidate_canon,
IFKB-CANON-00097,قیمه یزدی,Yazdi gheimeh,,stew,,candidate_canon,
IFKB-CANON-00098,قیمه بوشهری,Bushehri gheimeh,,stew,,candidate_canon,
IFKB-CANON-00099,بزقرمه,Boz ghormeh goat and kashk stew,بز قورمه,stew,,candidate_canon,
IFKB-CANON-00100,قروت بادمجان,Qoroot bademjan,قروت بادمجون,stew,,candidate_canon,
IFKB-CANON-00101,قلیه ماهی,Ghalieh mahi fish stew,,seafood_stew,,candidate_canon,
IFKB-CANON-00102,قلیه میگو,Ghalieh meygoo shrimp stew,,seafood_stew,,candidate_canon,
IFKB-CANON-00103,یتیمچه,Yatimcheh vegetable stew,یتیمک,stew,,candidate_canon,
IFKB-CANON-00104,آبگوشت بزباش,Bozbash abgoosht,بزباش,abgoosht,,candidate_canon,
IFKB-CANON-00105,آبگوشت کشک,Kashk abgoosht,,abgoosht,,candidate_canon,
IFKB-CANON-00106,آبگوشت زیره,Kermani cumin abgoosht,آبگوشت زیره کرمانی,abgoosht,,candidate_canon,
IFKB-CANON-00107,آبگوشت قنبید,Qom kohlrabi abgoosht,آبگوشت قنبید قمی,abgoosht,,candidate_canon,
IFKB-CANON-00108,دیزی سنگی,Stone-pot dizi,دیزی,abgoosht,,candidate_canon,
IFKB-CANON-00109,کله جوش,Kaleh joosh kashk dish,کال جوش,stew,,candidate_canon,
IFKB-CANON-00110,کشک کدو,Kashk kadoo,,stew,,candidate_canon,
IFKB-CANON-00111,دوپیازه آلو,Shirazi potato do piyazeh,دو پیازه آلو,stew,,candidate_canon,
IFKB-CANON-00112,اکبرجوجه,Akbar joojeh fried chicken,اکبر جوجه,fried_main,,candidate_canon,
IFKB-CANON-00113,مرغ شکم‌پر,Stuffed chicken,مرغ شکم پر,stuffed_main,,candidate_canon,
IFKB-CANON-00114,ماهی شکم‌پر,Stuffed fish,ماهی شکم پر,stuffed_main,,candidate_canon,
IFKB-CANON-00115,ماهی صبور شکم‌پر,Stuffed sobour fish,,stuffed_main,,candidate_canon,
IFKB-CANON-00116,تنورچه,Balochi tanoorcheh roasted meat,,roast,,candidate_canon,
IFKB-CANON-00117,تباهگ,Tabahag dried meat dish,,meat_main,,candidate_canon,
IFKB-CANON-00118,دوغ‌پا,Dough pa yogurt meat dish,دوغ پا,stew,,candidate_canon,
IFKB-CANON-00119,قیمه نثار,Gheimeh nesar,,rice,,candidate_canon,
IFKB-CANON-00120,کلم پلو شیرازی,Shirazi cabbage rice,,rice,,candidate_canon,
IFKB-CANON-00121,سبزی پلو با ماهی,Herb rice with fish,,rice,,candidate_canon,
IFKB-CANON-00122,رشته پلو,Reshteh polo noodle rice,,rice,,candidate_canon,
IFKB-CANON-00123,شیرین پلو,Shirin polo sweet rice,,rice,,candidate_canon,
IFKB-CANON-00124,مرصع پلو,Morasa polo jeweled rice,,rice,,candidate_canon,
IFKB-CANON-00125,هویج پلو,Carrot rice,,rice,,candidate_canon,
IFKB-CANON-00126,ماش پلو,Mung bean rice,,rice,,candidate_canon,
IFKB-CANON-00127,لوبیا چشم‌بلبلی پلو,Black-eyed pea rice,,rice,,candidate_canon,
IFKB-CANON-00128,دمی گوجه,Tomato rice,دمپخت گوجه,rice,,candidate_canon,
IFKB-CANON-00129,دمپختک باقالی,Fava bean dampokhtak,دمپختک,rice,,candidate_canon,
IFKB-CANON-00130,عدس پلو با کشمش و گوشت,Lentil rice with raisins and meat,,rice,,candidate_canon,
IFKB-CANON-00131,استانبولی با گوشت,Estamboli rice with meat,,rice,,candidate_canon,
IFKB-CANON-00132,چکدرمه,Chekdirmeh Turkmen rice,,rice,,candidate_canon,
IFKB-CANON-00133,هواری ماهی,Havari mahi fish rice,,rice,,candidate_canon,
IFKB-CANON-00134,هواری میگو,Havari meygoo shrimp rice,,rice,,candidate_canon,
IFKB-CANON-00135,امگشت,Amgesht fish rice,,rice,,candidate_canon,
IFKB-CANON-00136,دمی لخلاخ,Lakh lakh fish rice,لخلاخ,rice,,candidate_canon,
IFKB-CANON-00137,قنبر پلو,Ghanbar polo,غم بر پلو,rice,,candidate_canon,
IFKB-CANON-00138,رب پلو,Rob polo tomato paste rice,,rice,,candidate_canon,
IFKB-CANON-00139,شکر پلو,Shekar polo sweet saffron rice,,rice,,candidate_canon,
IFKB-CANON-00140,زیره پلو,Cumin rice,,rice,,candidate_canon,
IFKB-CANON-00141,مانی پلو,Mani polo,,rice,,candidate_canon,
IFKB-CANON-00142,ته‌چین گرمساری,Garmsari tahchin,ته چین گرمساری,rice,,candidate_canon,
IFKB-CANON-00143,ساطری پلو,Sateri polo,,rice,,candidate_canon,
IFKB-CANON-00144,سیب پلو,Kermanshahi potato rice,,rice,,candidate_canon,
IFKB-CANON-00145,رشته پلو اردبیلی,Ardabili reshteh polo,,rice,,candidate_canon,
IFKB-CANON-00146,سوتی پلو,Sooti polo milk rice,,rice,,candidate_canon,
IFKB-CANON-00147,برنج دیشو,Disho rice with date syrup,,rice,,candidate_canon,
IFKB-CANON-00148,زیبون,Zeyboon fish and rice,,rice,,candidate_canon,
IFKB-CANON-00149,موفلک,Moflak cracked wheat dish,,grain_dish,,candidate_canon,
IFKB-CANON-00150,کباب بناب,Bonab kebab,,kebab,,candidate_canon,
IFKB-CANON-00151,دنده کباب,Kermanshahi rib kebab,,kebab,,candidate_canon,
IFKB-CANON-00152,کباب سلطانی,Soltani kebab,,kebab,,candidate_canon,
IFKB-CANON-00153,کباب وزیری,Vaziri kebab,,kebab,,candidate_canon,
IFKB-CANON-00154,کباب لقمه,Loghmeh kebab,,kebab,,candidate_canon,
IFKB-CANON-00155,جوجه ترش,Sour chicken kebab,,kebab,,candidate_canon,
IFKB-CANON-00156,کباب ماهی,Grilled fish kebab,,kebab,,candidate_canon,
IFKB-CANON-00157,کباب حسینی,Hosseini skewered meat,,kebab,,candidate_canon,
IFKB-CANON-00158,کباب سرداشی,Hamedani sardashi kebab,,kebab,,candidate_canon,
IFKB-CANON-00159,کوبیده مرغ,Chicken koobideh,کباب کوبیده مرغ,kebab,,candidate_canon,
IFKB-CANON-00160,دل و قلوه کبابی,Grilled heart and kidney,,kebab,,candidate_canon,
IFKB-CANON-00161,ماهی تنوری,Tandoor-baked fish,,roast,,candidate_canon,
IFKB-CANON-00162,آش شله قلمکار,Ash sholeh ghalamkar,,soup,,candidate_canon,
IFKB-CANON-00163,آش سبزی شیرازی,Shirazi herb ash,,soup,,candidate_canon,
IFKB-CANON-00164,آش عباسعلی,Ash Abbasali,,soup,,candidate_canon,
IFKB-CANON-00165,آش ترخینه,Tarkhineh ash,,soup,,candidate_canon,
IFKB-CANON-00166,آش ماست,Yogurt ash,,soup,,candidate_canon,
IFKB-CANON-00167,آش کشک,Kashk ash,,soup,,candidate_canon,
IFKB-CANON-00168,آش گندم,Wheat ash,,soup,,candidate_canon,
IFKB-CANON-00169,آش جو,Barley ash,,soup,,candidate_canon,
IFKB-CANON-00170,آش اوماج,Omaj ash,آش آماج,soup,,candidate_canon,
IFKB-CANON-00171,آش شولی,Shooli ash,شولی,soup,,candidate_canon,
IFKB-CANON-00172,آش لخشک,Lakhshak noodle ash,,soup,,candidate_canon,
IFKB-CANON-00173,آش یارمه,Yarmeh ash,,soup,,candidate_canon,
IFKB-CANON-00174,آش بلغور,Bulgur ash,,soup,,candidate_canon,
IFKB-CANON-00175,شله مشهدی,Sholeh Mashhadi,,soup,,candidate_canon,
IFKB-CANON-00176,شوربا,Shorba soup,,soup,,candidate_canon,
IFKB-CANON-00177,آب دوغ خیار,Ab doogh khiar,آبدوغ خیار,cold_soup,,candidate_canon,
IFKB-CANON-00178,اشکنه کشک,Kashk eshkeneh,,soup,,candidate_canon,
IFKB-CANON-00179,اشکنه گوجه,Tomato eshkeneh,,soup,,candidate_canon,
IFKB-CANON-00180,سوپ شیر,Milk soup,,soup,,candidate_canon,
IFKB-CANON-00181,سوپ مرغ,Chicken soup,,soup,,candidate_canon,
IFKB-CANON-00182,حلیم گندم,Wheat halim,,porridge,,candidate_canon,
IFKB-CANON-00183,شلمین,Shalmin fermented ash,,soup,,candidate_canon,
IFKB-CANON-00184,کوکو سیب‌زمینی,Potato kuku,کوکو سیب زمینی,kuku,,candidate_canon,
IFKB-CANON-00185,کوکو لوبیا سبز,Green bean kuku,,kuku,,candidate_canon,
IFKB-CANON-00186,کوکو شیرین,Sweet kuku,,kuku,,candidate_canon,
IFKB-CANON-00187,کوفته تبریزی,Tabrizi koofteh,,koofteh,,candidate_canon,
IFKB-CANON-00188,کوفته برنجی,Rice koofteh,,koofteh,,candidate_canon,
IFKB-CANON-00189,کوفته هلو,Shirazi koofteh holoo,,koofteh,,candidate_canon,
IFKB-CANON-00190,قیمه ریزه,Isfahani gheimeh rizeh,,meatball,,candidate_canon,
IFKB-CANON-00191,سرگنجشکی,Sargonjishki meatballs,,meatball,,candidate_canon,
IFKB-CANON-00192,دلمه فلفل دلمه‌ای,Stuffed bell pepper,دلمه فلفل,dolmeh,,candidate_canon,
IFKB-CANON-00193,دلمه کلم,Stuffed cabbage,,dolmeh,,candidate_canon,
IFKB-CANON-00194,دلمه بادمجان,Stuffed eggplant,,dolmeh,,candidate_canon,
IFKB-CANON-00195,دلمه گوجه‌فرنگی,Stuffed tomato,,dolmeh,,candidate_canon,
IFKB-CANON-00196,بورانی اسفناج,Spinach borani,,side,,candidate_canon,
IFKB-CANON-00197,بورانی بادمجان,Eggplant borani,,side,,candidate_canon,
IFKB-CANON-00198,نازخاتون,Naz khatoon eggplant condiment,,side,,candidate_canon,
IFKB-CANON-00199,کال کباب,Kal kabab eggplant walnut dish,کال‌کباب,side,,candidate_canon,
IFKB-CANON-00200,زیتون پرورده,Zeytoon parvardeh,,side,,candidate_canon,
IFKB-CANON-00201,سالاد شیرازی,Shirazi salad,,salad,,candidate_canon,
IFKB-CANON-00202,ماست و خیار,Yogurt and cucumber,,side,,candidate_canon,
IFKB-CANON-00203,ماست موسیر,Yogurt with shallot,,side,,candidate_canon,
IFKB-CANON-00204,ترشی لیته,Liteh mixed pickle,,pickle,,candidate_canon,
IFKB-CANON-00205,ترشی هفت‌بیجار,Haft bijar pickle,ترشی هفت بیجار,pickle,,candidate_canon,
IFKB-CANON-00206,شور مخلوط,Mixed salted pickles,,pickle,,candidate_canon,
IFKB-CANON-00207,مهیاوه,Mahyaveh fermented fish sauce,,condiment,,candidate_canon,
IFKB-CANON-00208,سوراغ,Sooragh fermented fish condiment,,condiment,,candidate_canon,
IFKB-CANON-00209,پکوره,Pakora,پاکورا,fried_snack,,candidate_canon,
IFKB-CANON-00210,حمیس توله,Hamiss tuleh greens dish,,vegetable_main,,candidate_canon,
IFKB-CANON-00211,بریانی اصفهان,Isfahan beryani,بریونی,meat_main,,candidate_canon,
IFKB-CANON-00212,خورش ماست,Isfahani yogurt stew dessert,,dessert_main,,candidate_canon,
IFKB-CANON-00213,یخمه ترش,Yakhmeh torsh,,stew,,candidate_canon,
IFKB-CANON-00214,جغور بغور,Jaghur baghur offal sauté,,offal_main,,candidate_canon,
IFKB-CANON-00215,دویماج,Doymaj bread cheese snack,,cold_dish,,candidate_canon,
IFKB-CANON-00216,کلانه,Kalaneh herb flatbread,,bread,,candidate_canon,
IFKB-CANON-00217,قروتو,Qorootu kashk dish,قروت,stew,,candidate_canon,
IFKB-CANON-00218,کشک زرد,Kashk zard fermented porridge,,porridge,,candidate_canon,
IFKB-CANON-00219,نان شیرمال,Shirmal bread,,bread,,candidate_canon,
IFKB-CANON-00220,نان روغنی,Oily enriched bread,,bread,,candidate_canon,
IFKB-CANON-00221,نان ساجی,Saj bread,,bread,,candidate_canon,
IFKB-CANON-00222,نان تیری,Tiri thin bread,,bread,,candidate_canon,
IFKB-CANON-00223,نان تموشی,Tomoshi bread,,bread,,candidate_canon,
IFKB-CANON-00224,فطیر,Fatir bread,,bread,,candidate_canon,
IFKB-CANON-00225,نان قندی,Sweet bread,,bread,,candidate_canon,
IFKB-CANON-00226,مسقطی,Masghati starch sweet,,dessert,,candidate_canon,
IFKB-CANON-00227,سوهان,Sohan,,dessert,,candidate_canon,
IFKB-CANON-00228,گز,Gaz nougat,,dessert,,candidate_canon,
IFKB-CANON-00229,پولکی,Poolaki candy,,dessert,,candidate_canon,
IFKB-CANON-00230,قطاب,Qottab pastry,,dessert,,candidate_canon,
IFKB-CANON-00231,باقلوا یزدی,Yazdi baklava,,dessert,,candidate_canon,
IFKB-CANON-00232,کیک یزدی,Yazdi cupcake,,dessert,,candidate_canon,
IFKB-CANON-00233,لوز بیدمشک,Bidmeshk loz,,dessert,,candidate_canon,
IFKB-CANON-00234,لوز نارگیل,Coconut loz,,dessert,,candidate_canon,
IFKB-CANON-00235,کلوچه فومن,Fuman cookie,,dessert,,candidate_canon,
IFKB-CANON-00236,رشته خوشکار,Reshteh khoshkar,,dessert,,candidate_canon,
IFKB-CANON-00237,نان برنجی,Nan berenji rice cookie,,dessert,,candidate_canon,
IFKB-CANON-00238,کاک,Kak pastry,,dessert,,candidate_canon,
IFKB-CANON-00239,نان خرمایی,Date-filled pastry,,dessert,,candidate_canon,
IFKB-CANON-00240,قرابیه تبریز,Tabrizi qurabiya,,dessert,,candidate_canon,
IFKB-CANON-00241,نوقا,Tabrizi nougat,,dessert,,candidate_canon,
IFKB-CANON-00242,اریس,Eris caramel sweet,,dessert,,candidate_canon,
IFKB-CANON-00243,باسلوق,Baslogh starch sweet,,dessert,,candidate_canon,
IFKB-CANON-00244,سمنو,Samanu wheat pudding,,dessert,,candidate_canon,
IFKB-CANON-00245,دیگچه,Mashhadi digcheh rice dessert,,dessert,,candidate_canon,
IFKB-CANON-00246,حلوای هویج,Carrot halva,,dessert,,candidate_canon,
IFKB-CANON-00247,حلوای خرما,Date halva,,dessert,,candidate_canon,
IFKB-CANON-00248,یوخه,Yokheh thin pastry,,dessert,,candidate_canon,
IFKB-CANON-00249,کماچ سهن,Komaj sehen,,dessert,,candidate_canon,
IFKB-CANON-00250,لندو,Landu date wheat sweet,,dessert,,candidate_canon,
IFKB-CANON-00251,نان چایی,Qazvin tea biscuit,,dessert,,candidate_canon,
IFKB-CANON-00252,نان نخودچی,Chickpea cookie,,dessert,,candidate_canon,
IFKB-CANON-00253,نان پنجره‌ای,Rosette cookie,,dessert,,candidate_canon,
IFKB-CANON-00254,گوشفیل,Gooshfil fried pastry,,dessert,,candidate_canon,
IFKB-CANON-00255,حلوای شیر,Milk halva,,dessert,,candidate_canon,
IFKB-CANON-00256,شربت سکنجبین,Sekanjabin drink,,beverage,,candidate_canon,
IFKB-CANON-00257,شربت خاکشیر,Khakshir drink,,beverage,,candidate_canon,
IFKB-CANON-00258,شربت تخم شربتی,Tokhm sharbati drink,,beverage,,candidate_canon,
IFKB-CANON-00259,شربت بیدمشک,Bidmeshk cordial,,beverage,,candidate_canon,
IFKB-CANON-00260,چای زعفرانی,Saffron tea,,beverage,,candidate_canon,
IFKB-CANON-00261,قهوه یزدی,Yazdi spiced coffee,,beverage,,candidate_canon,
